#,Date Heure(GMT+01:00),Température1(°C),Température2(°C),Température3(°C),Température4(°C)
399,05/22/17 03:45:00 PM,285.78,285.70799999999997,285.659,285.99699999999996
400,05/22/17 04:00:00 PM,285.804,285.70799999999997,285.659,285.99699999999996
401,05/22/17 04:15:00 PM,285.828,285.70799999999997,285.659,285.99699999999996
402,05/22/17 04:30:00 PM,285.85299999999995,285.73199999999997,285.659,285.99699999999996
403,05/22/17 04:45:00 PM,285.87699999999995,285.73199999999997,285.659,285.99699999999996
404,05/22/17 05:00:00 PM,285.92499999999995,285.756,285.659,286.02099999999996
405,05/22/17 05:15:00 PM,285.94899999999996,285.756,285.659,285.99699999999996
406,05/22/17 05:30:00 PM,285.97299999999996,285.756,285.659,285.99699999999996
407,05/22/17 05:45:00 PM,285.99699999999996,285.78,285.659,285.99699999999996
408,05/22/17 06:00:00 PM,286.046,285.804,285.659,285.97299999999996
409,05/22/17 06:15:00 PM,286.07,285.804,285.659,285.97299999999996
410,05/22/17 06:30:00 PM,286.094,285.828,285.68399999999997,285.94899999999996
411,05/22/17 06:45:00 PM,286.142,285.828,285.68399999999997,285.94899999999996
412,05/22/17 07:00:00 PM,286.166,285.85299999999995,285.68399999999997,285.92499999999995
413,05/22/17 07:15:00 PM,286.19,285.87699999999995,285.68399999999997,285.85299999999995
414,05/22/17 07:30:00 PM,286.238,285.87699999999995,285.70799999999997,285.85299999999995
415,05/22/17 07:45:00 PM,286.262,285.92499999999995,285.70799999999997,285.828
416,05/22/17 08:00:00 PM,286.287,285.92499999999995,285.70799999999997,285.828
417,05/22/17 08:15:00 PM,286.311,285.94899999999996,285.70799999999997,285.804
418,05/22/17 08:30:00 PM,286.359,285.97299999999996,285.73199999999997,285.804
419,05/22/17 08:45:00 PM,286.383,285.99699999999996,285.73199999999997,285.804
420,05/22/17 09:00:00 PM,286.407,285.99699999999996,285.756,285.756
421,05/22/17 09:15:00 PM,286.431,286.02099999999996,285.756,285.73199999999997
422,05/22/17 09:30:00 PM,286.455,286.046,285.756,285.70799999999997
423,05/22/17 09:45:00 PM,286.479,286.07,285.78,285.70799999999997
424,05/22/17 10:00:00 PM,286.503,286.07,285.78,285.70799999999997
425,05/22/17 10:15:00 PM,286.527,286.094,285.804,285.659
426,05/22/17 10:30:00 PM,286.551,286.118,285.804,285.68399999999997
427,05/22/17 10:45:00 PM,286.551,286.142,285.804,285.659
428,05/22/17 11:00:00 PM,286.575,286.166,285.828,285.635
429,05/22/17 11:15:00 PM,286.599,286.166,285.828,285.587
430,05/22/17 11:30:00 PM,286.599,286.19,285.85299999999995,285.539
431,05/22/17 11:45:00 PM,286.623,286.19,285.85299999999995,285.539
432,05/23/17 12:00:00 AM,286.623,286.214,285.87699999999995,285.51399999999995
433,05/23/17 12:15:00 AM,286.647,286.214,285.87699999999995,285.46599999999995
434,05/23/17 12:30:00 AM,286.647,286.238,285.90099999999995,285.44199999999995
435,05/23/17 12:45:00 AM,286.67199999999997,286.262,285.92499999999995,285.41799999999995
436,05/23/17 01:00:00 AM,286.67199999999997,286.262,285.92499999999995,285.41799999999995
437,05/23/17 01:15:00 AM,286.67199999999997,286.262,285.92499999999995,285.41799999999995
438,05/23/17 01:30:00 AM,286.67199999999997,286.287,285.94899999999996,285.41799999999995
439,05/23/17 01:45:00 AM,286.67199999999997,286.287,285.94899999999996,285.41799999999995
440,05/23/17 02:00:00 AM,286.67199999999997,286.311,285.94899999999996,285.41799999999995
441,05/23/17 02:15:00 AM,286.67199999999997,286.311,285.97299999999996,285.44199999999995
442,05/23/17 02:30:00 AM,286.67199999999997,286.311,285.97299999999996,285.393
443,05/23/17 02:45:00 AM,286.69599999999997,286.311,285.99699999999996,285.34499999999997
444,05/23/17 03:00:00 AM,286.67199999999997,286.335,285.99699999999996,285.248
445,05/23/17 03:15:00 AM,286.67199999999997,286.335,285.99699999999996,285.224
446,05/23/17 03:30:00 AM,286.67199999999997,286.335,286.02099999999996,285.006
447,05/23/17 03:45:00 AM,286.67199999999997,286.359,286.02099999999996,285.054
448,05/23/17 04:00:00 AM,286.67199999999997,286.359,286.02099999999996,285.07899999999995
449,05/23/17 04:15:00 AM,286.67199999999997,286.359,286.046,285.10299999999995
450,05/23/17 04:30:00 AM,286.67199999999997,286.359,286.046,285.10299999999995
451,05/23/17 04:45:00 AM,286.647,286.359,286.046,285.10299999999995
452,05/23/17 05:00:00 AM,286.647,286.359,286.046,285.15099999999995
453,05/23/17 05:15:00 AM,286.623,286.359,286.046,285.2
454,05/23/17 05:30:00 AM,286.623,286.359,286.07,285.2
455,05/23/17 05:45:00 AM,286.623,286.359,286.07,285.224
456,05/23/17 06:00:00 AM,286.599,286.359,286.07,285.224
457,05/23/17 06:15:00 AM,286.599,286.359,286.07,285.248
458,05/23/17 06:30:00 AM,286.575,286.359,286.07,285.248
459,05/23/17 06:45:00 AM,286.575,286.359,286.07,285.272
460,05/23/17 07:00:00 AM,286.551,286.359,286.094,285.29699999999997
461,05/23/17 07:15:00 AM,286.551,286.359,286.094,285.32099999999997
462,05/23/17 07:30:00 AM,286.527,286.359,286.094,285.34499999999997
463,05/23/17 07:45:00 AM,286.527,286.359,286.094,285.36899999999997
464,05/23/17 08:00:00 AM,286.527,286.359,286.094,285.36899999999997
465,05/23/17 08:15:00 AM,286.503,286.335,286.094,285.393
466,05/23/17 08:30:00 AM,286.503,286.335,286.094,285.393
467,05/23/17 08:45:00 AM,286.479,286.335,286.094,285.828
468,05/23/17 09:00:00 AM,286.479,286.335,286.094,285.87699999999995
469,05/23/17 09:15:00 AM,286.479,286.335,286.094,285.92499999999995
470,05/23/17 09:30:00 AM,286.455,286.311,286.094,286.07
471,05/23/17 09:45:00 AM,286.455,286.311,286.094,286.118
472,05/23/17 10:00:00 AM,286.455,286.311,286.094,286.166
473,05/23/17 10:15:00 AM,286.431,286.311,286.094,286.19
474,05/23/17 10:30:00 AM,286.431,286.311,286.094,286.214
475,05/23/17 10:45:00 AM,286.431,286.311,286.094,286.166
476,05/23/17 11:00:00 AM,286.431,286.287,286.094,286.214
477,05/23/17 11:15:00 AM,286.431,286.311,286.094,286.214
478,05/23/17 11:30:00 AM,286.431,286.287,286.118,286.214
479,05/23/17 11:45:00 AM,286.431,286.287,286.094,286.238
480,05/23/17 12:00:00 PM,286.431,286.287,286.094,286.238
481,05/23/17 12:15:00 PM,286.407,286.287,286.094,286.094
482,05/23/17 12:30:00 PM,286.431,286.287,286.094,286.094
483,05/23/17 12:45:00 PM,286.431,286.287,286.094,286.094
484,05/23/17 01:00:00 PM,286.431,286.287,286.094,286.094
485,05/23/17 01:15:00 PM,286.431,286.287,286.094,286.094
486,05/23/17 01:30:00 PM,286.431,286.287,286.094,286.118
487,05/23/17 01:45:00 PM,286.431,286.287,286.094,286.118
488,05/23/17 02:00:00 PM,286.455,286.287,286.094,286.118
489,05/23/17 02:15:00 PM,286.455,286.287,286.094,286.142
490,05/23/17 02:30:00 PM,286.455,286.287,286.094,286.142
491,05/23/17 02:45:00 PM,286.455,286.287,286.094,286.166
492,05/23/17 03:00:00 PM,286.479,286.287,286.094,286.166
493,05/23/17 03:15:00 PM,286.503,286.287,286.094,286.19
494,05/23/17 03:30:00 PM,286.503,286.287,286.094,286.19
495,05/23/17 03:45:00 PM,286.527,286.287,286.094,286.19
496,05/23/17 04:00:00 PM,286.527,286.311,286.094,286.214
497,05/23/17 04:15:00 PM,286.551,286.311,286.094,286.238
498,05/23/17 04:30:00 PM,286.575,286.311,286.094,286.238
499,05/23/17 04:45:00 PM,286.599,286.335,286.118,286.262
500,05/23/17 05:00:00 PM,286.599,286.335,286.118,286.262
501,05/23/17 05:15:00 PM,286.623,286.335,286.118,286.262
502,05/23/17 05:30:00 PM,286.67199999999997,286.359,286.118,286.287
503,05/23/17 05:45:00 PM,286.67199999999997,286.359,286.118,286.311
504,05/23/17 06:00:00 PM,286.71999999999997,286.359,286.118,286.311
505,05/23/17 06:15:00 PM,286.74399999999997,286.383,286.118,286.262
506,05/23/17 06:30:00 PM,286.768,286.407,286.142,286.287
507,05/23/17 06:45:00 PM,286.792,286.407,286.142,286.287
508,05/23/17 07:00:00 PM,286.816,286.431,286.142,286.311
509,05/23/17 07:15:00 PM,286.84,286.431,286.142,286.311
510,05/23/17 07:30:00 PM,286.864,286.455,286.142,286.311
511,05/23/17 07:45:00 PM,286.888,286.455,286.166,286.311
512,05/23/17 08:00:00 PM,286.912,286.479,286.166,286.335
513,05/23/17 08:15:00 PM,286.96,286.503,286.166,286.335
514,05/23/17 08:30:00 PM,286.984,286.503,286.19,286.359
515,05/23/17 08:45:00 PM,287.008,286.527,286.19,286.359
516,05/23/17 09:00:00 PM,287.032,286.551,286.19,286.359
517,05/23/17 09:15:00 PM,287.056,286.575,286.19,286.383
518,05/23/17 09:30:00 PM,287.08,286.575,286.214,286.383
519,05/23/17 09:45:00 PM,287.104,286.599,286.238,286.69599999999997
520,05/23/17 10:00:00 PM,287.104,286.599,286.238,286.888
521,05/23/17 10:15:00 PM,287.128,286.623,286.238,286.912
522,05/23/17 10:30:00 PM,287.152,286.647,286.262,286.936
523,05/23/17 10:45:00 PM,287.152,286.67199999999997,286.262,287.056
524,05/23/17 11:00:00 PM,287.176,286.67199999999997,286.287,287.032
525,05/23/17 11:15:00 PM,287.2,286.69599999999997,286.287,287.056
526,05/23/17 11:30:00 PM,287.2,286.69599999999997,286.287,287.056
527,05/23/17 11:45:00 PM,287.2,286.71999999999997,286.311,287.056
528,05/24/17 12:00:00 AM,287.224,286.71999999999997,286.311,287.08
529,05/24/17 12:15:00 AM,287.224,286.74399999999997,286.311,287.104
530,05/24/17 12:30:00 AM,287.248,286.74399999999997,286.335,287.104
531,05/24/17 12:45:00 AM,287.248,286.768,286.335,287.128
532,05/24/17 01:00:00 AM,287.248,286.768,286.335,287.104
533,05/24/17 01:15:00 AM,287.248,286.768,286.359,287.104
534,05/24/17 01:30:00 AM,287.248,286.792,286.359,287.104
535,05/24/17 01:45:00 AM,287.248,286.792,286.383,287.128
536,05/24/17 02:00:00 AM,287.248,286.816,286.383,287.128
537,05/24/17 02:15:00 AM,287.248,286.816,286.383,287.128
538,05/24/17 02:30:00 AM,287.248,286.816,286.407,287.128
539,05/24/17 02:45:00 AM,287.248,286.816,286.407,287.128
540,05/24/17 03:00:00 AM,287.248,286.84,286.431,287.152
541,05/24/17 03:15:00 AM,287.248,286.84,286.431,287.128
542,05/24/17 03:30:00 AM,287.224,286.84,286.431,287.128
543,05/24/17 03:45:00 AM,287.224,286.84,286.431,287.128
544,05/24/17 04:00:00 AM,287.2,286.84,286.455,287.104
545,05/24/17 04:15:00 AM,287.2,286.84,286.455,287.128
546,05/24/17 04:30:00 AM,287.2,286.84,286.455,287.128
547,05/24/17 04:45:00 AM,287.176,286.84,286.455,287.152
548,05/24/17 05:00:00 AM,287.176,286.864,286.479,287.104
549,05/24/17 05:15:00 AM,287.152,286.84,286.479,287.128
550,05/24/17 05:30:00 AM,287.152,286.84,286.479,287.128
551,05/24/17 05:45:00 AM,287.128,286.84,286.479,287.128
552,05/24/17 06:00:00 AM,287.128,286.84,286.479,287.152
553,05/24/17 06:15:00 AM,287.104,286.84,286.479,287.152
554,05/24/17 06:30:00 AM,287.104,286.84,286.479,287.176
555,05/24/17 06:45:00 AM,287.08,286.84,286.503,287.176
556,05/24/17 07:00:00 AM,287.08,286.84,286.503,287.2
557,05/24/17 07:15:00 AM,287.056,286.84,286.503,287.224
558,05/24/17 07:30:00 AM,287.056,286.816,286.503,287.224
559,05/24/17 07:45:00 AM,287.032,286.816,286.503,287.248
560,05/24/17 08:00:00 AM,287.032,286.816,286.503,287.248
561,05/24/17 08:15:00 AM,287.008,286.816,286.503,287.248
562,05/24/17 08:30:00 AM,287.008,286.816,286.503,287.248
563,05/24/17 08:45:00 AM,287.008,286.792,286.503,287.248
564,05/24/17 09:00:00 AM,286.984,286.792,286.503,287.248
565,05/24/17 09:15:00 AM,286.984,286.792,286.503,287.272
566,05/24/17 09:30:00 AM,286.96,286.792,286.503,287.272
567,05/24/17 09:45:00 AM,286.96,286.768,286.503,287.296
568,05/24/17 10:00:00 AM,286.936,286.768,286.503,287.272
569,05/24/17 10:15:00 AM,286.936,286.768,286.503,287.296
570,05/24/17 10:30:00 AM,286.936,286.768,286.503,287.296
571,05/24/17 10:45:00 AM,286.912,286.74399999999997,286.503,287.296
572,05/24/17 11:00:00 AM,286.912,286.768,286.503,287.296
573,05/24/17 11:15:00 AM,286.912,286.74399999999997,286.503,287.296
574,05/24/17 11:30:00 AM,286.888,286.74399999999997,286.503,287.296
575,05/24/17 11:45:00 AM,286.888,286.74399999999997,286.479,287.296
576,05/24/17 12:00:00 PM,286.888,286.74399999999997,286.503,287.296
577,05/24/17 12:15:00 PM,286.888,286.74399999999997,286.479,287.296
578,05/24/17 12:30:00 PM,286.888,286.71999999999997,286.479,287.272
579,05/24/17 12:45:00 PM,286.864,286.71999999999997,286.479,287.296
580,05/24/17 01:00:00 PM,286.864,286.71999999999997,286.479,287.272
581,05/24/17 01:15:00 PM,286.864,286.71999999999997,286.479,287.296
582,05/24/17 01:30:00 PM,286.864,286.71999999999997,286.479,287.296
583,05/24/17 01:45:00 PM,286.864,286.71999999999997,286.479,287.296
584,05/24/17 02:00:00 PM,286.864,286.71999999999997,286.479,287.296
585,05/24/17 02:15:00 PM,286.864,286.69599999999997,286.479,287.272
586,05/24/17 02:30:00 PM,286.888,286.69599999999997,286.479,287.272
587,05/24/17 02:45:00 PM,286.888,286.71999999999997,286.479,287.248
588,05/24/17 03:00:00 PM,286.888,286.69599999999997,286.479,287.248
589,05/24/17 03:15:00 PM,286.888,286.69599999999997,286.479,287.272
590,05/24/17 03:30:00 PM,286.912,286.69599999999997,286.479,287.272
591,05/24/17 03:45:00 PM,286.912,286.69599999999997,286.479,287.272
592,05/24/17 04:00:00 PM,286.912,286.69599999999997,286.479,287.272
593,05/24/17 04:15:00 PM,286.912,286.71999999999997,286.479,287.272
594,05/24/17 04:30:00 PM,286.936,286.71999999999997,286.479,287.272
595,05/24/17 04:45:00 PM,286.936,286.71999999999997,286.479,287.248
596,05/24/17 05:00:00 PM,286.96,286.71999999999997,286.479,287.224
597,05/24/17 05:15:00 PM,286.96,286.71999999999997,286.479,287.224
598,05/24/17 05:30:00 PM,286.984,286.71999999999997,286.479,287.104
599,05/24/17 05:45:00 PM,286.984,286.71999999999997,286.479,287.128
600,05/24/17 06:00:00 PM,287.008,286.71999999999997,286.479,287.128
601,05/24/17 06:15:00 PM,287.032,286.74399999999997,286.479,287.128
602,05/24/17 06:30:00 PM,287.056,286.74399999999997,286.479,287.104
603,05/24/17 06:45:00 PM,287.056,286.74399999999997,286.479,287.128
604,05/24/17 07:00:00 PM,287.08,286.768,286.479,287.128
605,05/24/17 07:15:00 PM,287.104,286.768,286.479,287.152
606,05/24/17 07:30:00 PM,287.104,286.768,286.503,287.152
607,05/24/17 07:45:00 PM,287.128,286.792,286.503,287.152
608,05/24/17 08:00:00 PM,287.152,286.792,286.503,287.152
609,05/24/17 08:15:00 PM,287.152,286.816,286.503,287.152
610,05/24/17 08:30:00 PM,287.176,286.816,286.503,287.152
611,05/24/17 08:45:00 PM,287.2,286.816,286.503,287.176
612,05/24/17 09:00:00 PM,287.224,286.84,286.527,287.2
613,05/24/17 09:15:00 PM,287.224,286.84,286.527,287.2
614,05/24/17 09:30:00 PM,287.248,286.864,286.527,287.176
615,05/24/17 09:45:00 PM,287.272,286.864,286.527,287.176
616,05/24/17 10:00:00 PM,287.272,286.888,286.527,287.2
617,05/24/17 10:15:00 PM,287.296,286.888,286.551,287.2
618,05/24/17 10:30:00 PM,287.296,286.888,286.551,287.2
619,05/24/17 10:45:00 PM,287.32,286.912,286.551,287.2
620,05/24/17 11:00:00 PM,287.32,286.912,286.575,287.224
