"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759806, SEN S/N: 10759806)","Tension, V (LGR S/N: 10759806, SEN S/N: 10759806)"
03/12/16 09:30:00 PM,8.078,1.32467
03/12/16 09:45:00 PM,8.035,1.31231
03/12/16 10:00:00 PM,7.985,1.29797
03/12/16 10:15:00 PM,7.935,1.30648
03/12/16 10:30:00 PM,7.874,1.30812
03/12/16 10:45:00 PM,7.813,1.31987
03/12/16 11:00:00 PM,7.749,1.31724
03/12/16 11:15:00 PM,7.688,1.30301
03/12/16 11:30:00 PM,7.632,1.32261
03/12/16 11:45:00 PM,7.567,1.31533
03/13/16 12:00:00 AM,7.495,1.31529
03/13/16 12:15:00 AM,7.421,1.32776
03/13/16 12:30:00 AM,7.344,1.30522
03/13/16 12:45:00 AM,7.258,1.31258
03/13/16 01:00:00 AM,7.179,1.30785
03/13/16 01:15:00 AM,7.102,1.31312
03/13/16 01:30:00 AM,7.028,1.31323
03/13/16 01:45:00 AM,6.954,1.31186
03/13/16 02:00:00 AM,6.879,1.3146
03/13/16 02:15:00 AM,6.808,1.31785
03/13/16 02:30:00 AM,6.736,1.2982
03/13/16 02:45:00 AM,6.664,1.29747
03/13/16 03:00:00 AM,6.599,1.31659
03/13/16 03:15:00 AM,6.531,1.3154
03/13/16 03:30:00 AM,6.465,1.30663
03/13/16 03:45:00 AM,6.398,1.32082
03/13/16 04:00:00 AM,6.337,1.29904
03/13/16 04:15:00 AM,6.288,1.30926
03/13/16 04:30:00 AM,6.237,1.31334
03/13/16 04:45:00 AM,6.188,1.31193
03/13/16 05:00:00 AM,6.132,1.31147
03/13/16 05:15:00 AM,6.07,1.31102
03/13/16 05:30:00 AM,6.006,1.32132
03/13/16 05:45:00 AM,5.947,1.31922
03/13/16 06:00:00 AM,5.893,1.30529
03/13/16 06:15:00 AM,5.845,1.32883
03/13/16 06:30:00 AM,5.8,1.31434
03/13/16 06:45:00 AM,5.755,1.31125
03/13/16 07:00:00 AM,5.707,1.32124
03/13/16 07:15:00 AM,5.663,1.30919
03/13/16 07:30:00 AM,5.618,1.32124
03/13/16 07:45:00 AM,5.576,1.31735
03/13/16 08:00:00 AM,5.538,1.32544
03/13/16 08:15:00 AM,5.513,1.30949
03/13/16 08:30:00 AM,5.496,1.3196
03/13/16 08:45:00 AM,5.493,1.31853
03/13/16 09:00:00 AM,5.497,1.30877
03/13/16 09:15:00 AM,5.515,1.31464
03/13/16 09:30:00 AM,5.544,1.32559
03/13/16 09:45:00 AM,5.587,1.31384
03/13/16 10:00:00 AM,5.655,1.33352
03/13/16 10:15:00 AM,5.723,1.30865
03/13/16 10:30:00 AM,5.803,1.31403
03/13/16 10:45:00 AM,5.888,1.3109
03/13/16 11:00:00 AM,5.989,1.32551
03/13/16 11:15:00 AM,6.102,1.29915
03/13/16 11:30:00 AM,6.217,1.32841
03/13/16 11:45:00 AM,6.344,1.32181
03/13/16 12:00:00 PM,6.469,1.33501
03/13/16 12:15:00 PM,6.604,1.32307
03/13/16 12:30:00 PM,6.724,1.31193
03/13/16 12:45:00 PM,6.856,1.31846
03/13/16 01:00:00 PM,6.992,1.32776
03/13/16 01:15:00 PM,7.121,1.32429
03/13/16 01:30:00 PM,7.248,1.31079
03/13/16 01:45:00 PM,7.373,1.32403
03/13/16 02:00:00 PM,7.492,1.32658
03/13/16 02:15:00 PM,7.608,1.32372
